,DXEX v3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,C:\Documents and Settings\Prof. Werneck\Desktop\Testes_HTP\Testes\Testes_Topo\15mm\15mm_campo_topo_t03.lda,,,,,,,,,,,,,,,,,,
1,18:05:01,,,,,,,,,,,,,,,,,,
2,15.00 mm;-0.85 mm;0.00 mm,,,,,,,,,,,,,,,,,,
3,15_90_sub1,,,,,,,,,,,,,,,,,,
4,"""X [mm]""	""Y [mm]""	""Z [mm]""	""Date_Time""	""Count{1}""	""Data Rate{1} [#/s]""	""Validation{1} [%]""	""LDA1-Mean [m/s]""","""LDA2-Mean","[m/s]""","""LDA1-RMS","[m/s]""","""LDA2-RMS","[m/s]""","""LDA1-MeanConf","[m/s]""","""LDA2-MeanConf","[m/s]""","""LDA1-RMSConf","[m/s]""","""LDA2-RMSConf","[m/s]""","""LDA1-AnodeCur","[uA]""","""LDA2-AnodeCur","[uA]"""
121,15.00	-5.35	-6.00	18:28:55	216	43.33	93.77	0.0740	-0.2446	0.2116	0.1880	0.0283	0.0251	0.0200	0.0178	16	28,,,,,,,,,,,,,,,,,,
122,15.00	-4.85	-6.00	18:29:08	199	40.51	89.42	0.0745	-0.1687	0.2095	0.1984	0.0292	0.0276	0.0206	0.0195	12	25,,,,,,,,,,,,,,,,,,
123,15.00	-4.35	-6.00	18:29:21	212	42.67	92.59	0.1037	-0.1950	0.2285	0.2025	0.0308	0.0273	0.0218	0.0193	12	25,,,,,,,,,,,,,,,,,,
124,15.00	-3.85	-6.00	18:29:33	213	43.34	94.33	0.0540	-0.1426	0.2446	0.2045	0.0329	0.0275	0.0233	0.0195	12	22,,,,,,,,,,,,,,,,,,
125,15.00	-3.35	-6.00	18:29:45	185	37.29	90.33	0.0276	-0.1538	0.2455	0.2077	0.0355	0.0300	0.0251	0.0212	12	19,,,,,,,,,,,,,,,,,,
126,15.00	-2.85	-6.00	18:29:58	195	39.25	91.10	0.0368	-0.1430	0.2367	0.1951	0.0333	0.0275	0.0236	0.0194	16	22,,,,,,,,,,,,,,,,,,
127,15.00	-2.35	-6.00	18:30:11	198	40.56	92.00	-0.0040	-0.1134	0.2291	0.1869	0.0320	0.0261	0.0226	0.0185	12	19,,,,,,,,,,,,,,,,,,
128,15.00	-1.85	-6.00	18:30:23	169	34.14	95.88	-0.0975	-0.1295	0.2123	0.1679	0.0321	0.0254	0.0227	0.0180	9	16,,,,,,,,,,,,,,,,,,
129,15.00	-1.35	-6.00	18:30:35	209	41.96	89.06	-0.1161	-0.0853	0.2079	0.1490	0.0283	0.0202	0.0200	0.0143	16	19,,,,,,,,,,,,,,,,,,
130,15.00	-0.85	-6.00	18:30:47	192	38.76	93.41	-0.1501	-0.0500	0.2201	0.1488	0.0312	0.0211	0.0221	0.0149	12	16,,,,,,,,,,,,,,,,,,
131,15.00	-0.35	-6.00	18:31:01	151	30.38	93.75	-0.1809	0.0266	0.2046	0.1420	0.0327	0.0227	0.0232	0.0161	12	16,,,,,,,,,,,,,,,,,,
132,15.00	0.15	-6.00	18:31:13	145	29.46	95.36	-0.1742	0.0371	0.1910	0.1438	0.0312	0.0235	0.0221	0.0166	16	22,,,,,,,,,,,,,,,,,,
133,15.00	0.65	-6.00	18:31:25	178	35.70	95.16	-0.1662	0.0633	0.1910	0.1514	0.0281	0.0223	0.0199	0.0158	12	16,,,,,,,,,,,,,,,,,,
134,15.00	1.15	-6.00	18:31:38	180	36.38	95.96	-0.1039	0.0925	0.1982	0.1722	0.0290	0.0252	0.0205	0.0178	12	16,,,,,,,,,,,,,,,,,,
135,15.00	1.65	-6.00	18:31:51	174	35.66	95.37	-0.0487	0.1023	0.2212	0.1738	0.0330	0.0259	0.0233	0.0183	12	19,,,,,,,,,,,,,,,,,,
136,15.00	2.15	-6.00	18:32:03	144	29.09	92.50	-0.0119	0.1551	0.2251	0.1791	0.0369	0.0294	0.0261	0.0208	12	22,,,,,,,,,,,,,,,,,,
137,15.00	2.65	-6.00	18:32:15	144	28.92	91.09	0.0401	0.1587	0.2048	0.1838	0.0336	0.0301	0.0237	0.0213	12	16,,,,,,,,,,,,,,,,,,
138,15.00	3.15	-6.00	18:32:27	162	32.74	94.78	0.0363	0.1630	0.1935	0.2001	0.0299	0.0309	0.0211	0.0219	12	19,,,,,,,,,,,,,,,,,,
139,15.00	3.65	-6.00	18:32:40	165	34.15	94.03	0.0837	0.1710	0.2241	0.1921	0.0343	0.0294	0.0242	0.0208	16	25,,,,,,,,,,,,,,,,,,
140,15.00	4.15	-6.00	18:32:53	171	35.09	85.35	0.0455	0.1893	0.2060	0.1731	0.0310	0.0260	0.0219	0.0184	12	19,,,,,,,,,,,,,,,,,,
141,15.00	4.65	-6.00	18:33:05	162	33.17	94.49	0.0687	0.2361	0.1801	0.1874	0.0278	0.0289	0.0197	0.0205	12	16,,,,,,,,,,,,,,,,,,
142,15.00	5.15	-6.00	18:33:17	169	34.02	94.98	0.0757	0.2576	0.1819	0.1554	0.0275	0.0235	0.0195	0.0166	16	22,,,,,,,,,,,,,,,,,,
143,15.00	5.65	-6.00	18:33:30	214	43.94	92.28	0.0587	0.2511	0.1817	0.1967	0.0244	0.0264	0.0173	0.0187	16	19,,,,,,,,,,,,,,,,,,
144,15.00	6.15	-6.00	18:33:42	230	46.54	81.29	0.0284	0.2130	0.1984	0.2191	0.0257	0.0284	0.0182	0.0201	19	19,,,,,,,,,,,,,,,,,,
145,15.00	6.65	-6.00	18:33:55	201	40.11	92.96	0.0758	0.2350	0.1705	0.2364	0.0236	0.0328	0.0167	0.0232	16	22,,,,,,,,,,,,,,,,,,
146,15.00	7.15	-6.00	18:34:08	205	41.61	94.03	0.0955	0.1524	0.1713	0.2166	0.0235	0.0297	0.0166	0.0210	16	32,,,,,,,,,,,,,,,,,,
147,15.00	7.15	-6.50	18:34:21	197	39.86	93.58	0.0468	0.2207	0.1914	0.2045	0.0268	0.0286	0.0189	0.0202	12	19,,,,,,,,,,,,,,,,,,
148,15.00	6.65	-6.50	18:34:33	183	36.96	94.00	0.0721	0.2632	0.2037	0.1833	0.0296	0.0266	0.0209	0.0188	12	22,,,,,,,,,,,,,,,,,,
149,15.00	6.15	-6.50	18:34:46	207	41.48	93.15	0.0367	0.2389	0.1953	0.1824	0.0267	0.0249	0.0189	0.0176	12	19,,,,,,,,,,,,,,,,,,
150,15.00	5.65	-6.50	18:34:58	198	39.87	92.77	0.0175	0.3069	0.1825	0.1868	0.0255	0.0261	0.0180	0.0184	16	19,,,,,,,,,,,,,,,,,,
151,15.00	5.15	-6.50	18:35:10	196	39.59	97.15	0.0667	0.2567	0.1960	0.1834	0.0275	0.0257	0.0195	0.0182	12	25,,,,,,,,,,,,,,,,,,
152,15.00	4.65	-6.50	18:35:22	219	44.18	93.85	0.0717	0.2442	0.2184	0.1855	0.0290	0.0246	0.0205	0.0174	16	22,,,,,,,,,,,,,,,,,,
153,15.00	4.15	-6.50	18:35:35	147	30.76	97.01	0.0413	0.2508	0.2075	0.1877	0.0337	0.0305	0.0238	0.0215	16	28,,,,,,,,,,,,,,,,,,
154,15.00	3.65	-6.50	18:35:47	187	37.48	95.22	0.0186	0.2137	0.2095	0.1958	0.0301	0.0281	0.0213	0.0199	12	16,,,,,,,,,,,,,,,,,,
155,15.00	3.15	-6.50	18:35:59	137	28.25	97.41	0.0294	0.2367	0.2285	0.1976	0.0384	0.0332	0.0272	0.0235	12	19,,,,,,,,,,,,,,,,,,
156,15.00	2.65	-6.50	18:36:13	184	37.07	97.46	0.0130	0.2040	0.2170	0.1843	0.0314	0.0267	0.0222	0.0189	16	22,,,,,,,,,,,,,,,,,,
157,15.00	2.15	-6.50	18:36:25	157	31.78	81.14	0.0101	0.1800	0.2239	0.2102	0.0351	0.0330	0.0248	0.0233	12	25,,,,,,,,,,,,,,,,,,
158,15.00	1.65	-6.50	18:36:37	172	35.02	94.08	-0.0511	0.1302	0.2289	0.1691	0.0343	0.0253	0.0243	0.0179	12	25,,,,,,,,,,,,,,,,,,
159,15.00	1.15	-6.50	18:36:49	188	38.48	92.01	-0.0625	0.1236	0.2118	0.1660	0.0304	0.0238	0.0215	0.0168	12	19,,,,,,,,,,,,,,,,,,
160,15.00	0.65	-6.50	18:37:02	176	35.23	96.94	-0.1250	0.1033	0.2320	0.1511	0.0344	0.0224	0.0243	0.0158	16	16,,,,,,,,,,,,,,,,,,
161,15.00	0.15	-6.50	18:37:15	157	31.92	94.98	-0.1677	0.0340	0.2116	0.1376	0.0332	0.0216	0.0235	0.0153	9	16,,,,,,,,,,,,,,,,,,
162,15.00	-0.35	-6.50	18:37:28	150	30.19	96.24	-0.1245	-0.0274	0.2095	0.1659	0.0336	0.0266	0.0238	0.0188	12	19,,,,,,,,,,,,,,,,,,
163,15.00	-0.85	-6.50	18:37:40	218	43.94	95.66	-0.1416	-0.0539	0.2275	0.1600	0.0303	0.0213	0.0214	0.0151	16	22,,,,,,,,,,,,,,,,,,
164,15.00	-1.35	-6.50	18:37:52	200	40.61	91.07	-0.1291	-0.1029	0.2200	0.1741	0.0306	0.0242	0.0216	0.0171	12	16,,,,,,,,,,,,,,,,,,
165,15.00	-1.85	-6.50	18:38:05	222	45.25	82.70	-0.0562	-0.1185	0.2147	0.1795	0.0283	0.0237	0.0200	0.0167	16	22,,,,,,,,,,,,,,,,,,
166,15.00	-2.35	-6.50	18:38:17	198	39.87	92.96	-0.0030	-0.1572	0.2209	0.1814	0.0309	0.0253	0.0218	0.0179	12	22,,,,,,,,,,,,,,,,,,
167,15.00	-2.85	-6.50	18:38:29	176	35.92	94.62	0.0002	-0.1656	0.2369	0.1906	0.0351	0.0282	0.0248	0.0200	12	25,,,,,,,,,,,,,,,,,,
168,15.00	-3.35	-6.50	18:38:42	207	41.74	96.28	0.0251	-0.2016	0.2679	0.1925	0.0366	0.0263	0.0259	0.0186	12	25,,,,,,,,,,,,,,,,,,
169,15.00	-3.85	-6.50	18:38:54	190	38.44	95.44	0.0454	-0.1816	0.2385	0.2161	0.0340	0.0308	0.0240	0.0218	12	16,,,,,,,,,,,,,,,,,,
170,15.00	-4.35	-6.50	18:39:06	203	40.95	94.79	0.0344	-0.2299	0.2284	0.2043	0.0315	0.0282	0.0223	0.0199	12	16,,,,,,,,,,,,,,,,,,
171,15.00	-4.85	-6.50	18:39:19	196	39.51	91.72	0.0719	-0.2768	0.2211	0.1998	0.0310	0.0280	0.0219	0.0198	12	16,,,,,,,,,,,,,,,,,,
172,15.00	-5.35	-6.50	18:39:31	238	47.76	92.73	0.0608	-0.2360	0.2241	0.1864	0.0285	0.0237	0.0202	0.0168	12	25,,,,,,,,,,,,,,,,,,
173,15.00	-5.85	-6.50	18:39:43	253	50.75	94.34	0.0499	-0.2585	0.2116	0.2001	0.0261	0.0247	0.0185	0.0175	16	19,,,,,,,,,,,,,,,,,,
174,15.00	-6.35	-6.50	18:39:55	228	45.87	90.41	0.0236	-0.2447	0.2206	0.1987	0.0287	0.0258	0.0203	0.0183	16	16,,,,,,,,,,,,,,,,,,
175,15.00	-6.85	-6.50	18:40:08	199	40.15	91.92	0.0428	-0.2676	0.2010	0.2212	0.0280	0.0308	0.0198	0.0218	12	16,,,,,,,,,,,,,,,,,,
176,15.00	-6.85	-7.00	18:40:20	215	43.51	93.79	-0.0131	-0.2705	0.2191	0.2225	0.0294	0.0298	0.0208	0.0211	12	16,,,,,,,,,,,,,,,,,,
177,15.00	-6.35	-7.00	18:40:32	238	47.90	88.38	-0.0028	-0.2733	0.2389	0.1974	0.0304	0.0251	0.0215	0.0178	16	22,,,,,,,,,,,,,,,,,,
178,15.00	-5.85	-7.00	18:40:44	214	42.91	92.94	0.0173	-0.2680	0.2126	0.2115	0.0285	0.0284	0.0202	0.0201	12	19,,,,,,,,,,,,,,,,,,
179,15.00	-5.35	-7.00	18:40:57	203	41.89	94.23	0.0320	-0.3020	0.2605	0.2101	0.0359	0.0290	0.0254	0.0205	12	19,,,,,,,,,,,,,,,,,,
180,15.00	-4.85	-7.00	18:41:09	216	43.27	96.83	0.0428	-0.2822	0.2408	0.2202	0.0322	0.0294	0.0228	0.0208	12	19,,,,,,,,,,,,,,,,,,
181,15.00	-4.35	-7.00	18:41:21	222	44.70	95.18	0.0166	-0.2745	0.2617	0.2087	0.0345	0.0275	0.0244	0.0195	12	19,,,,,,,,,,,,,,,,,,
182,15.00	-3.85	-7.00	18:41:34	193	39.31	91.39	0.0161	-0.2943	0.2540	0.1960	0.0359	0.0277	0.0254	0.0196	12	19,,,,,,,,,,,,,,,,,,
183,15.00	-3.35	-7.00	18:41:46	183	36.99	93.17	0.0411	-0.2534	0.2254	0.1918	0.0327	0.0279	0.0232	0.0197	12	19,,,,,,,,,,,,,,,,,,
184,15.00	-2.85	-7.00	18:41:58	184	37.48	83.94	0.0388	-0.2513	0.2379	0.1826	0.0345	0.0265	0.0244	0.0187	12	19,,,,,,,,,,,,,,,,,,
185,15.00	-2.35	-7.00	18:42:10	215	43.86	93.99	0.0293	-0.1839	0.2178	0.1990	0.0292	0.0267	0.0206	0.0189	12	28,,,,,,,,,,,,,,,,,,
186,15.00	-1.85	-7.00	18:42:22	219	43.88	95.61	-0.0299	-0.1630	0.2241	0.1935	0.0298	0.0257	0.0210	0.0182	12	22,,,,,,,,,,,,,,,,,,
187,15.00	-1.35	-7.00	18:42:35	200	40.42	89.88	-0.0981	-0.1224	0.2427	0.1727	0.0337	0.0240	0.0238	0.0170	16	25,,,,,,,,,,,,,,,,,,
188,15.00	-0.85	-7.00	18:42:47	187	37.99	95.51	-0.1335	-0.0920	0.2223	0.1546	0.0319	0.0222	0.0226	0.0157	16	28,,,,,,,,,,,,,,,,,,
189,15.00	-0.35	-7.00	18:42:59	163	32.95	92.64	-0.1419	0.0017	0.2447	0.1724	0.0377	0.0266	0.0266	0.0188	12	28,,,,,,,,,,,,,,,,,,
190,15.00	0.15	-7.00	18:43:11	155	31.18	94.36	-0.0798	0.0579	0.2562	0.1542	0.0405	0.0244	0.0286	0.0172	19	28,,,,,,,,,,,,,,,,,,
191,15.00	0.65	-7.00	18:43:23	198	39.95	97.27	-0.1001	0.0833	0.2174	0.1601	0.0304	0.0224	0.0215	0.0158	16	25,,,,,,,,,,,,,,,,,,
192,15.00	1.15	-7.00	18:43:36	163	33.13	96.83	-0.0519	0.1479	0.2450	0.1710	0.0377	0.0263	0.0267	0.0186	12	25,,,,,,,,,,,,,,,,,,
193,15.00	1.65	-7.00	18:43:48	176	35.27	96.02	-0.0164	0.2000	0.2238	0.1886	0.0332	0.0279	0.0234	0.0198	12	32,,,,,,,,,,,,,,,,,,
194,15.00	2.15	-7.00	18:44:00	170	34.22	96.32	-0.0232	0.2310	0.2050	0.1690	0.0309	0.0255	0.0219	0.0180	9	12,,,,,,,,,,,,,,,,,,
195,15.00	2.65	-7.00	18:44:12	181	36.70	95.24	0.0353	0.2321	0.2185	0.1544	0.0319	0.0226	0.0226	0.0159	12	16,,,,,,,,,,,,,,,,,,
196,15.00	3.15	-7.00	18:44:25	166	33.42	95.67	0.0593	0.2653	0.2316	0.1933	0.0353	0.0295	0.0250	0.0209	12	16,,,,,,,,,,,,,,,,,,
197,15.00	3.65	-7.00	18:44:37	185	37.16	95.94	0.0826	0.2565	0.2382	0.1843	0.0344	0.0266	0.0243	0.0188	12	25,,,,,,,,,,,,,,,,,,
198,15.00	4.15	-7.00	18:44:49	205	41.18	83.74	0.0314	0.2588	0.2132	0.2005	0.0293	0.0275	0.0207	0.0195	12	25,,,,,,,,,,,,,,,,,,
199,15.00	4.65	-7.00	18:45:01	182	37.07	96.81	0.0421	0.2739	0.2228	0.1717	0.0325	0.0250	0.0230	0.0177	12	25,,,,,,,,,,,,,,,,,,
200,15.00	5.15	-7.00	18:45:13	176	35.45	97.75	0.0516	0.2429	0.2097	0.1749	0.0311	0.0259	0.0220	0.0183	16	25,,,,,,,,,,,,,,,,,,
201,15.00	5.65	-7.00	18:45:25	192	38.82	86.55	0.0546	0.2917	0.1888	0.1730	0.0268	0.0245	0.0189	0.0174	16	25,,,,,,,,,,,,,,,,,,
202,15.00	6.15	-7.00	18:45:38	184	37.70	95.37	0.0366	0.2908	0.1977	0.1773	0.0287	0.0257	0.0203	0.0182	16	22,,,,,,,,,,,,,,,,,,
203,15.00	6.65	-7.00	18:45:51	234	47.12	88.50	0.0216	0.2841	0.2130	0.1751	0.0274	0.0225	0.0193	0.0159	16	16,,,,,,,,,,,,,,,,,,
204,15.00	7.15	-7.00	18:46:04	199	40.20	96.89	0.0054	0.2390	0.1996	0.1983	0.0278	0.0276	0.0197	0.0195	19	16,,,,,,,,,,,,,,,,,,
205,15.00	7.15	-7.50	18:46:16	190	38.27	95.75	0.0154	0.2539	0.2088	0.2099	0.0298	0.0299	0.0210	0.0212	19	19,,,,,,,,,,,,,,,,,,
206,15.00	6.65	-7.50	18:46:28	227	46.28	92.50	-0.0169	0.2470	0.2037	0.1916	0.0266	0.0250	0.0188	0.0177	12	22,,,,,,,,,,,,,,,,,,
207,15.00	6.15	-7.50	18:46:41	211	43.09	94.75	0.0254	0.2570	0.2297	0.1908	0.0311	0.0258	0.0220	0.0182	16	25,,,,,,,,,,,,,,,,,,
208,15.00	5.65	-7.50	18:46:53	200	40.74	94.95	0.0088	0.2668	0.1872	0.1917	0.0260	0.0266	0.0184	0.0188	19	22,,,,,,,,,,,,,,,,,,
209,15.00	5.15	-7.50	18:47:06	213	42.75	93.53	0.0056	0.2515	0.2119	0.1998	0.0285	0.0269	0.0202	0.0190	12	19,,,,,,,,,,,,,,,,,,
210,15.00	4.65	-7.50	18:47:18	216	43.31	97.64	0.0113	0.2348	0.2375	0.2052	0.0317	0.0274	0.0224	0.0194	16	35,,,,,,,,,,,,,,,,,,
211,15.00	4.15	-7.50	18:47:30	203	40.82	96.42	0.0187	0.2505	0.2398	0.2178	0.0331	0.0300	0.0234	0.0212	12	28,,,,,,,,,,,,,,,,,,
212,15.00	3.65	-7.50	18:47:42	210	42.41	97.43	0.0543	0.2833	0.2257	0.2278	0.0306	0.0309	0.0216	0.0218	12	22,,,,,,,,,,,,,,,,,,
213,15.00	3.15	-7.50	18:47:54	213	42.89	94.85	0.0146	0.2771	0.2380	0.1832	0.0320	0.0247	0.0227	0.0174	16	25,,,,,,,,,,,,,,,,,,
214,15.00	2.65	-7.50	18:48:07	175	35.25	92.41	0.0216	0.2333	0.2398	0.1867	0.0356	0.0277	0.0252	0.0196	12	16,,,,,,,,,,,,,,,,,,
215,15.00	2.15	-7.50	18:48:21	171	35.16	91.44	0.0385	0.2331	0.2248	0.1822	0.0338	0.0274	0.0239	0.0194	12	25,,,,,,,,,,,,,,,,,,
216,15.00	1.65	-7.50	18:48:33	162	32.81	95.64	0.0121	0.2165	0.2436	0.1700	0.0376	0.0263	0.0266	0.0186	16	32,,,,,,,,,,,,,,,,,,
217,15.00	1.15	-7.50	18:48:45	150	30.99	96.92	-0.0272	0.1576	0.2369	0.1795	0.0380	0.0288	0.0269	0.0204	12	22,,,,,,,,,,,,,,,,,,
218,15.00	0.65	-7.50	18:48:57	126	25.51	93.83	-0.0027	0.1431	0.2644	0.1876	0.0464	0.0329	0.0328	0.0233	12	16,,,,,,,,,,,,,,,,,,
219,15.00	0.15	-7.50	18:49:10	156	31.30	96.20	-0.0582	0.0827	0.2775	0.1547	0.0437	0.0244	0.0309	0.0172	19	35,,,,,,,,,,,,,,,,,,
220,15.00	-0.35	-7.50	18:49:22	163	32.57	94.00	-0.0319	0.0105	0.2893	0.1608	0.0446	0.0248	0.0315	0.0175	16	38,,,,,,,,,,,,,,,,,,
221,15.00	-0.85	-7.50	18:49:34	201	40.49	94.29	-0.0631	-0.0913	0.2703	0.1708	0.0375	0.0237	0.0265	0.0167	16	28,,,,,,,,,,,,,,,,,,
222,15.00	-1.35	-7.50	18:49:47	204	41.58	94.48	-0.0344	-0.1684	0.2694	0.1799	0.0371	0.0248	0.0262	0.0175	12	19,,,,,,,,,,,,,,,,,,
223,15.00	-1.85	-7.50	18:49:59	190	38.07	92.66	0.0281	-0.1692	0.2455	0.1872	0.0350	0.0267	0.0248	0.0189	12	19,,,,,,,,,,,,,,,,,,
224,15.00	-2.35	-7.50	18:50:12	194	39.22	94.48	0.0224	-0.2479	0.2158	0.1896	0.0305	0.0267	0.0215	0.0189	12	28,,,,,,,,,,,,,,,,,,
225,15.00	-2.85	-7.50	18:50:25	239	48.18	95.30	0.0409	-0.2477	0.2287	0.2000	0.0291	0.0254	0.0205	0.0180	9	16,,,,,,,,,,,,,,,,,,
226,15.00	-3.35	-7.50	18:50:37	246	49.76	91.84	0.0411	-0.2508	0.2378	0.2040	0.0298	0.0255	0.0211	0.0181	12	19,,,,,,,,,,,,,,,,,,
227,15.00	-3.85	-7.50	18:50:49	206	41.48	94.11	0.0238	-0.2736	0.2397	0.1929	0.0328	0.0264	0.0232	0.0187	12	16,,,,,,,,,,,,,,,,,,
228,15.00	-4.35	-7.50	18:51:01	225	45.70	93.72	0.0276	-0.2539	0.2387	0.2256	0.0313	0.0295	0.0221	0.0209	16	32,,,,,,,,,,,,,,,,,,
229,15.00	-4.85	-7.50	18:51:13	261	52.29	94.28	0.0109	-0.2780	0.2640	0.2185	0.0321	0.0266	0.0227	0.0188	12	25,,,,,,,,,,,,,,,,,,
230,15.00	-5.35	-7.50	18:51:26	208	42.08	93.29	0.0004	-0.2810	0.2192	0.1943	0.0299	0.0265	0.0211	0.0187	12	25,,,,,,,,,,,,,,,,,,
231,15.00	-5.85	-7.50	18:51:39	233	47.38	94.53	-0.0383	-0.2761	0.2006	0.2075	0.0258	0.0267	0.0183	0.0189	16	22,,,,,,,,,,,,,,,,,,
232,15.00	-6.35	-7.50	18:51:51	214	43.38	95.06	0.0190	-0.2866	0.2246	0.1923	0.0302	0.0258	0.0213	0.0183	16	19,,,,,,,,,,,,,,,,,,
233,15.00	-6.85	-7.50	18:52:03	237	47.47	95.75	0.0219	-0.2747	0.2076	0.2144	0.0265	0.0273	0.0187	0.0193	16	19,,,,,,,,,,,,,,,,,,
234,15.00	-6.85	-8.00	18:52:15	241	48.68	92.71	-0.0160	-0.3111	0.1896	0.1942	0.0240	0.0246	0.0170	0.0174	12	12,,,,,,,,,,,,,,,,,,
235,15.00	-6.35	-8.00	18:52:27	236	47.67	94.22	-0.0045	-0.3061	0.1996	0.2081	0.0255	0.0266	0.0180	0.0188	16	25,,,,,,,,,,,,,,,,,,
236,15.00	-5.85	-8.00	18:52:39	211	42.67	93.27	-0.0133	-0.2827	0.1965	0.2025	0.0266	0.0274	0.0188	0.0194	16	22,,,,,,,,,,,,,,,,,,
237,15.00	-5.35	-8.00	18:52:52	221	44.40	88.09	0.0096	-0.2680	0.2224	0.1810	0.0294	0.0239	0.0208	0.0169	12	16,,,,,,,,,,,,,,,,,,
238,15.00	-4.85	-8.00	18:53:04	207	41.49	95.43	-0.0174	-0.2827	0.2464	0.2097	0.0337	0.0286	0.0238	0.0203	12	19,,,,,,,,,,,,,,,,,,
239,15.00	-4.35	-8.00	18:53:17	224	46.10	93.31	0.0014	-0.2567	0.2558	0.2063	0.0336	0.0271	0.0237	0.0191	12	19,,,,,,,,,,,,,,,,,,
240,15.00	-3.85	-8.00	18:53:29	208	41.90	92.89	0.0392	-0.2246	0.2515	0.2314	0.0343	0.0315	0.0242	0.0223	16	19,,,,,,,,,,,,,,,,,,
241,15.00	-3.35	-8.00	18:53:41	207	41.57	85.54	0.0552	-0.2234	0.2388	0.2283	0.0326	0.0312	0.0231	0.0220	12	22,,,,,,,,,,,,,,,,,,
242,15.00	-2.85	-8.00	18:53:53	226	45.73	90.74	0.0469	-0.2443	0.2403	0.2012	0.0314	0.0263	0.0222	0.0186	12	19,,,,,,,,,,,,,,,,,,
243,15.00	-2.35	-8.00	18:54:05	230	47.57	92.37	0.0486	-0.2094	0.2636	0.1771	0.0341	0.0229	0.0241	0.0162	12	19,,,,,,,,,,,,,,,,,,
244,15.00	-1.85	-8.00	18:54:17	195	39.18	88.64	0.0398	-0.1927	0.2672	0.1801	0.0376	0.0253	0.0266	0.0179	12	16,,,,,,,,,,,,,,,,,,
245,15.00	-1.35	-8.00	18:54:30	196	39.63	97.31	0.0252	-0.1578	0.2680	0.1772	0.0376	0.0249	0.0266	0.0176	12	16,,,,,,,,,,,,,,,,,,
246,15.00	-0.85	-8.00	18:54:42	214	43.15	95.11	0.0393	-0.0759	0.2925	0.1682	0.0393	0.0226	0.0278	0.0160	12	22,,,,,,,,,,,,,,,,,,
247,15.00	-0.35	-8.00	18:54:54	166	33.44	91.64	0.0396	-0.0145	0.2945	0.1752	0.0449	0.0267	0.0318	0.0189	16	25,,,,,,,,,,,,,,,,,,
248,15.00	0.15	-8.00	18:55:07	163	33.06	94.66	0.0405	0.0535	0.3003	0.1902	0.0462	0.0293	0.0327	0.0207	16	32,,,,,,,,,,,,,,,,,,
249,15.00	0.65	-8.00	18:55:20	147	29.83	96.05	0.0322	0.1381	0.2767	0.1600	0.0449	0.0260	0.0317	0.0184	16	22,,,,,,,,,,,,,,,,,,
250,15.00	1.15	-8.00	18:55:32	174	35.41	93.97	0.0129	0.1786	0.2457	0.1936	0.0366	0.0289	0.0259	0.0204	16	22,,,,,,,,,,,,,,,,,,
251,15.00	1.65	-8.00	18:55:44	175	35.65	93.91	0.0264	0.2454	0.2413	0.1790	0.0358	0.0266	0.0253	0.0188	12	16,,,,,,,,,,,,,,,,,,
252,15.00	2.15	-8.00	18:55:56	187	37.69	91.45	0.0460	0.2137	0.2337	0.1958	0.0336	0.0281	0.0237	0.0199	12	16,,,,,,,,,,,,,,,,,,
253,15.00	2.65	-8.00	18:56:08	217	43.80	96.94	0.0342	0.2099	0.2599	0.2002	0.0347	0.0267	0.0245	0.0189	12	19,,,,,,,,,,,,,,,,,,
254,15.00	3.15	-8.00	18:56:20	201	40.50	92.04	0.0243	0.2392	0.2468	0.1914	0.0342	0.0265	0.0242	0.0188	12	19,,,,,,,,,,,,,,,,,,
255,15.00	3.65	-8.00	18:56:33	198	39.72	95.35	-0.0075	0.2019	0.2510	0.2262	0.0350	0.0316	0.0248	0.0223	12	22,,,,,,,,,,,,,,,,,,
256,15.00	4.15	-8.00	18:56:46	206	42.10	92.92	-0.0385	0.2442	0.2322	0.2333	0.0318	0.0319	0.0225	0.0226	12	16,,,,,,,,,,,,,,,,,,
257,15.00	4.65	-8.00	18:56:58	236	46.93	94.13	0.0006	0.2579	0.2178	0.2164	0.0278	0.0277	0.0197	0.0196	12	19,,,,,,,,,,,,,,,,,,
258,15.00	5.15	-8.00	18:57:10	217	43.50	96.49	0.0158	0.2521	0.2116	0.1892	0.0282	0.0252	0.0200	0.0178	16	19,,,,,,,,,,,,,,,,,,
259,15.00	5.65	-8.00	18:57:22	184	37.23	92.87	0.0148	0.2774	0.1796	0.2033	0.0260	0.0295	0.0184	0.0208	12	16,,,,,,,,,,,,,,,,,,
260,15.00	6.15	-8.00	18:57:34	221	44.64	94.28	0.0076	0.2772	0.2090	0.1892	0.0276	0.0250	0.0195	0.0177	16	16,,,,,,,,,,,,,,,,,,
261,15.00	6.65	-8.00	18:57:46	211	43.01	93.83	-0.0310	0.2448	0.2202	0.2302	0.0298	0.0311	0.0211	0.0220	16	16,,,,,,,,,,,,,,,,,,
262,15.00	7.15	-8.00	18:57:59	217	43.62	94.46	-0.0128	0.2282	0.1765	0.2133	0.0235	0.0284	0.0166	0.0201	16	38,,,,,,,,,,,,,,,,,,
