DXEX v3
C:\Documents and Settings\Prof. Werneck\Desktop\Testes_HTP\Testes\Testes_Topo\15mm\15mm_campo_topo_t02.lda
15:15:48
15.00 mm;-0.85 mm;0.00 mm
15_90_sub1
"X [mm]"	"Y [mm]"	"Z [mm]"	"Date_Time"	"Count{1}"	"Data Rate{1} [#/s]"	"Validation{1} [%]"	"LDA1-Mean [m/s]"	"LDA2-Mean [m/s]"	"LDA1-RMS [m/s]"	"LDA2-RMS [m/s]"	"LDA1-MeanConf [m/s]"	"LDA2-MeanConf [m/s]"	"LDA1-RMSConf [m/s]"	"LDA2-RMSConf [m/s]"	"LDA1-AnodeCur [uA]"	"LDA2-AnodeCur [uA]"	
15.00	-0.85	0.00	15:15:48	171	34.83	94.88	-0.3889	-0.0108	0.1898	0.2019	0.0285	0.0303	0.0202	0.0215	16	22
15.00	-0.35	0.00	15:16:00	149	29.95	94.94	-0.3747	0.0288	0.1853	0.1971	0.0299	0.0318	0.0211	0.0225	12	28
15.00	0.15	0.00	15:16:12	157	31.72	94.29	-0.3809	0.0761	0.1766	0.2175	0.0277	0.0341	0.0196	0.0241	16	22
15.00	0.65	0.00	15:16:25	178	35.95	90.79	-0.3564	0.0869	0.2051	0.1734	0.0302	0.0256	0.0214	0.0181	16	25
15.00	1.15	0.00	15:16:38	176	35.74	83.87	-0.3432	0.1219	0.2306	0.2125	0.0342	0.0315	0.0242	0.0223	16	28
15.00	1.15	-0.50	15:16:51	144	28.94	85.93	-0.3330	0.1129	0.2439	0.1973	0.0400	0.0323	0.0283	0.0229	16	25
15.00	0.65	-0.50	15:17:04	182	36.84	97.35	-0.3488	0.0783	0.1889	0.1914	0.0275	0.0279	0.0195	0.0197	22	22
15.00	0.15	-0.50	15:17:16	188	37.65	95.32	-0.3894	0.0609	0.1708	0.1896	0.0245	0.0272	0.0173	0.0192	12	22
15.00	-0.35	-0.50	15:17:28	199	40.27	95.28	-0.3945	0.0406	0.1908	0.1978	0.0266	0.0276	0.0188	0.0195	12	25
15.00	-0.85	-0.50	15:17:41	154	30.98	95.30	-0.3730	0.0274	0.2067	0.1845	0.0328	0.0292	0.0232	0.0207	12	22
15.00	-0.85	-1.00	15:17:53	175	35.71	95.39	-0.3743	0.0581	0.2007	0.1823	0.0298	0.0271	0.0211	0.0192	12	25
15.00	-0.35	-1.00	15:18:05	171	34.78	96.15	-0.3763	0.0266	0.1815	0.1817	0.0273	0.0273	0.0193	0.0193	16	32
15.00	0.15	-1.00	15:18:17	171	34.40	90.01	-0.3939	0.0455	0.1817	0.1833	0.0273	0.0276	0.0193	0.0195	12	25
15.00	0.65	-1.00	15:18:30	190	38.55	83.60	-0.3811	0.0842	0.1792	0.1564	0.0256	0.0223	0.0181	0.0158	16	25
15.00	1.15	-1.00	15:18:42	176	36.02	85.49	-0.3023	0.0899	0.2506	0.2083	0.0371	0.0309	0.0263	0.0218	16	19
15.00	1.15	-1.50	15:18:54	156	31.12	81.38	-0.2404	0.1193	0.2784	0.2013	0.0438	0.0317	0.0310	0.0224	19	19
15.00	0.65	-1.50	15:19:07	172	35.04	93.71	-0.3614	0.0739	0.2118	0.1700	0.0317	0.0255	0.0224	0.0180	12	25
15.00	0.15	-1.50	15:19:19	159	32.04	96.21	-0.3815	0.0742	0.1686	0.1867	0.0263	0.0291	0.0186	0.0206	12	22
15.00	-0.35	-1.50	15:19:31	160	32.28	90.03	-0.3698	0.0551	0.1719	0.1869	0.0267	0.0291	0.0189	0.0205	16	38
15.00	-0.85	-1.50	15:19:43	138	28.00	87.37	-0.3868	0.0587	0.2119	0.1902	0.0355	0.0319	0.0251	0.0225	12	22
15.00	-1.35	-1.50	15:19:56	160	32.20	83.86	-0.3328	0.0173	0.2671	0.2137	0.0415	0.0332	0.0294	0.0235	16	22
15.00	-1.35	-2.00	15:20:09	162	32.87	88.86	-0.2753	-0.0226	0.2492	0.1815	0.0385	0.0280	0.0272	0.0198	19	22
15.00	-0.85	-2.00	15:20:21	134	27.03	88.88	-0.3225	0.0085	0.2338	0.1741	0.0397	0.0296	0.0281	0.0209	12	22
15.00	-0.35	-2.00	15:20:34	161	33.26	93.41	-0.3794	0.0778	0.1805	0.2098	0.0280	0.0325	0.0198	0.0230	12	25
15.00	0.15	-2.00	15:20:46	146	29.81	95.40	-0.3884	0.0679	0.1744	0.1809	0.0284	0.0295	0.0201	0.0208	16	22
15.00	0.65	-2.00	15:20:59	136	26.96	95.40	-0.3600	0.0611	0.1912	0.1714	0.0323	0.0289	0.0228	0.0204	12	22
15.00	1.15	-2.00	15:21:11	148	30.69	82.62	-0.2750	0.1122	0.2745	0.1811	0.0444	0.0293	0.0314	0.0207	19	19
15.00	1.15	-2.50	15:21:23	135	27.45	95.49	-0.2448	0.1445	0.2263	0.1618	0.0383	0.0274	0.0271	0.0194	19	19
15.00	0.65	-2.50	15:21:36	136	27.39	94.15	-0.3942	0.1040	0.1929	0.1656	0.0325	0.0279	0.0230	0.0198	12	19
