DXEX v3
C:\Documents and Settings\Prof. Werneck\Desktop\Testes_HTP\Testes\Testes_Topo\15mm\15mm_campo_topo_t05.lda
11:27:53
15.00 mm;-0.85 mm;0.00 mm
15_90_sub1
"X [mm]"	"Y [mm]"	"Z [mm]"	"Date_Time"	"Count{1}"	"Data Rate{1} [#/s]"	"Validation{1} [%]"	"LDA1-Mean [m/s]"	"LDA2-Mean [m/s]"	"LDA1-RMS [m/s]"	"LDA2-RMS [m/s]"	"LDA1-MeanConf [m/s]"	"LDA2-MeanConf [m/s]"	"LDA1-RMSConf [m/s]"	"LDA2-RMSConf [m/s]"	"LDA1-AnodeCur [uA]"	"LDA2-AnodeCur [uA]"	
15.00	0.65	-1.00	11:30:31	346	70.23	94.33	-0.3659	0.0792	0.1971	0.1709	0.0208	0.0180	0.0147	0.0127	16	25
15.00	1.15	-1.00	11:30:44	354	70.95	80.90	-0.1756	0.0926	0.2900	0.2376	0.0303	0.0248	0.0214	0.0175	16	60
15.00	1.15	-1.50	11:30:56	336	68.30	86.84	-0.1934	0.1168	0.3057	0.2164	0.0327	0.0232	0.0231	0.0164	16	25
15.00	0.65	-1.50	11:31:09	308	61.86	95.62	-0.3515	0.0598	0.2110	0.1825	0.0236	0.0204	0.0167	0.0144	19	25
15.00	0.15	-1.50	11:31:21	263	52.78	92.93	-0.3988	0.0810	0.1851	0.1828	0.0224	0.0221	0.0158	0.0157	16	22
15.00	-0.35	-1.50	11:31:33	282	56.56	95.15	-0.4059	0.0694	0.1730	0.1980	0.0202	0.0232	0.0143	0.0164	16	28
15.00	-0.85	-1.50	11:31:45	248	50.62	95.84	-0.3676	0.0517	0.2234	0.1842	0.0279	0.0230	0.0197	0.0162	12	25
15.00	-1.35	-1.50	11:31:57	287	57.96	91.20	-0.3018	-0.0019	0.2715	0.1941	0.0315	0.0225	0.0222	0.0159	22	25
15.00	-1.35	-2.00	11:32:09	273	55.02	89.76	-0.2546	0.0137	0.2651	0.1872	0.0315	0.0222	0.0223	0.0157	16	22
15.00	-0.85	-2.00	11:32:22	246	49.45	96.54	-0.3485	0.0429	0.2212	0.1971	0.0277	0.0247	0.0196	0.0175	16	22
15.00	-0.35	-2.00	11:32:34	275	55.20	96.26	-0.4056	0.0568	0.1905	0.2020	0.0226	0.0239	0.0160	0.0169	16	22
15.00	0.15	-2.00	11:32:46	309	62.31	96.82	-0.3824	0.0775	0.1873	0.1916	0.0209	0.0214	0.0148	0.0151	12	22
15.00	0.65	-2.00	11:32:58	269	54.06	94.35	-0.3509	0.0939	0.2150	0.1858	0.0257	0.0222	0.0182	0.0157	16	25
15.00	1.15	-2.00	11:33:11	286	58.57	93.21	-0.2006	0.1163	0.2298	0.2094	0.0267	0.0243	0.0189	0.0172	19	22
15.00	1.15	-2.50	11:33:23	268	53.67	97.51	-0.1963	0.1254	0.2169	0.1769	0.0260	0.0212	0.0184	0.0150	19	25
15.00	0.65	-2.50	11:33:35	274	55.26	87.51	-0.3042	0.0730	0.1983	0.1648	0.0235	0.0195	0.0166	0.0138	16	25
15.00	0.15	-2.50	11:33:47	293	59.29	94.85	-0.3649	0.0555	0.2012	0.1924	0.0231	0.0221	0.0163	0.0156	16	19
15.00	-0.35	-2.50	11:33:59	274	54.99	95.81	-0.3706	0.0557	0.1926	0.1874	0.0228	0.0222	0.0162	0.0157	19	22
15.00	-0.85	-2.50	11:34:11	231	46.56	96.21	-0.3211	-0.0022	0.2188	0.1787	0.0283	0.0231	0.0200	0.0163	16	22
15.00	-1.35	-2.50	11:34:24	271	54.35	83.66	-0.2479	-0.0303	0.2371	0.1903	0.0283	0.0227	0.0200	0.0161	16	22
15.00	-1.85	-3.00	11:34:36	260	52.42	97.36	-0.0636	-0.0530	0.1832	0.1589	0.0223	0.0194	0.0158	0.0137	16	19
15.00	-1.35	-3.00	11:34:48	222	44.58	94.72	-0.2134	-0.0488	0.2195	0.1554	0.0289	0.0205	0.0205	0.0145	19	22
15.00	-0.85	-3.00	11:35:00	228	46.90	94.41	-0.3095	0.0036	0.2205	0.1730	0.0287	0.0225	0.0203	0.0159	19	22
15.00	-0.35	-3.00	11:35:13	205	41.57	93.00	-0.3662	0.0417	0.1821	0.1716	0.0250	0.0235	0.0177	0.0167	16	19
15.00	0.15	-3.00	11:35:26	237	47.99	97.28	-0.3601	0.0829	0.1738	0.1432	0.0222	0.0183	0.0157	0.0129	16	19
15.00	0.65	-3.00	11:35:39	261	52.49	94.03	-0.2786	0.0976	0.2164	0.1715	0.0263	0.0208	0.0186	0.0147	16	22
15.00	1.15	-3.00	11:35:51	244	48.75	96.83	-0.1716	0.1236	0.2061	0.1844	0.0259	0.0232	0.0183	0.0164	19	19
15.00	1.65	-3.00	11:36:05	223	44.65	95.88	-0.0362	0.1261	0.1854	0.1541	0.0244	0.0203	0.0172	0.0143	22	22
15.00	2.15	-3.50	11:36:17	246	49.87	96.48	0.0776	0.1184	0.2026	0.1796	0.0254	0.0225	0.0179	0.0159	28	25
15.00	1.65	-3.50	11:36:29	177	35.76	95.50	-0.0677	0.1461	0.1681	0.1834	0.0248	0.0271	0.0176	0.0192	19	19
15.00	1.15	-3.50	11:36:41	219	44.10	93.92	-0.1805	0.1445	0.1848	0.1626	0.0245	0.0216	0.0173	0.0153	22	19
15.00	0.65	-3.50	11:36:53	220	44.42	96.46	-0.2625	0.0898	0.1897	0.1460	0.0251	0.0193	0.0178	0.0137	16	19
15.00	0.15	-3.50	11:37:06	249	50.45	96.86	-0.2709	0.0540	0.1926	0.1547	0.0240	0.0193	0.0170	0.0136	12	19
15.00	-0.35	-3.50	11:37:18	233	46.94	96.44	-0.2968	0.0200	0.1857	0.1538	0.0239	0.0198	0.0169	0.0140	16	19
15.00	-0.85	-3.50	11:37:30	229	45.98	92.28	-0.2937	-0.0291	0.2037	0.1576	0.0264	0.0205	0.0187	0.0145	16	22
15.00	-1.35	-3.50	11:37:43	253	51.21	97.55	-0.1774	-0.0737	0.1871	0.1669	0.0231	0.0206	0.0163	0.0146	16	22
15.00	-1.85	-3.50	11:37:55	246	50.61	92.72	-0.0727	-0.1099	0.1872	0.1845	0.0234	0.0231	0.0166	0.0163	16	19
15.00	-2.35	-3.50	11:38:07	254	50.95	95.33	0.0535	-0.0801	0.1974	0.1804	0.0243	0.0222	0.0172	0.0157	19	19
15.00	-2.85	-4.00	11:38:19	221	44.97	88.36	0.1164	-0.1147	0.1831	0.1706	0.0242	0.0225	0.0171	0.0159	19	19
15.00	-2.35	-4.00	11:38:31	260	52.06	94.09	0.0248	-0.0840	0.1958	0.1722	0.0238	0.0210	0.0169	0.0148	12	22
15.00	-1.85	-4.00	11:38:43	227	45.65	95.55	-0.0990	-0.0673	0.2061	0.1761	0.0269	0.0230	0.0190	0.0162	19	19
15.00	-1.35	-4.00	11:38:55	240	48.28	95.79	-0.1963	-0.0735	0.1727	0.1684	0.0219	0.0214	0.0155	0.0151	16	25
15.00	-0.85	-4.00	11:39:08	245	49.27	92.13	-0.2482	-0.0196	0.1992	0.1591	0.0250	0.0200	0.0177	0.0141	16	19
15.00	-0.35	-4.00	11:39:22	207	42.24	95.79	-0.2488	0.0039	0.1931	0.1428	0.0264	0.0195	0.0186	0.0138	16	19
15.00	0.15	-4.00	11:39:35	239	48.17	94.65	-0.2907	0.0298	0.1794	0.1369	0.0228	0.0174	0.0161	0.0123	16	19
15.00	0.65	-4.00	11:39:47	247	49.84	96.04	-0.2208	0.0790	0.2063	0.1516	0.0258	0.0189	0.0182	0.0134	16	22
15.00	1.15	-4.00	11:39:59	213	43.00	90.04	-0.1745	0.1097	0.2009	0.1696	0.0271	0.0228	0.0191	0.0161	22	22
15.00	1.65	-4.00	11:40:12	202	40.78	89.31	-0.0705	0.1568	0.1962	0.1672	0.0271	0.0231	0.0192	0.0163	16	19
15.00	2.15	-4.00	11:40:25	220	45.40	92.41	0.0239	0.1484	0.1890	0.1627	0.0250	0.0215	0.0177	0.0152	35	19
15.00	2.65	-4.00	11:40:38	246	49.58	91.37	0.1007	0.1469	0.1805	0.1815	0.0226	0.0227	0.0160	0.0161	22	28
15.00	3.15	-4.50	11:40:50	244	49.46	89.12	0.1262	0.1256	0.2045	0.2159	0.0257	0.0271	0.0182	0.0192	19	19
15.00	2.65	-4.50	11:41:03	289	58.80	74.12	0.0697	0.1593	0.1988	0.1851	0.0230	0.0214	0.0162	0.0151	16	28
15.00	2.15	-4.50	11:41:15	206	41.77	93.18	0.0130	0.1380	0.2030	0.1824	0.0278	0.0250	0.0196	0.0177	19	19
15.00	1.65	-4.50	11:41:28	229	46.96	94.82	-0.0982	0.1090	0.2267	0.1603	0.0294	0.0208	0.0208	0.0147	16	22
15.00	1.15	-4.50	11:41:40	222	44.79	97.49	-0.1673	0.0688	0.1809	0.1740	0.0238	0.0229	0.0169	0.0162	19	22
15.00	0.65	-4.50	11:41:52	202	40.80	96.77	-0.2181	0.0829	0.2022	0.1565	0.0280	0.0216	0.0198	0.0153	19	22
15.00	0.15	-4.50	11:42:04	201	40.40	88.27	-0.2499	0.0256	0.1867	0.1550	0.0259	0.0215	0.0183	0.0152	22	22
15.00	-0.35	-4.50	11:42:18	218	44.17	96.05	-0.2467	-0.0005	0.1965	0.1436	0.0261	0.0191	0.0185	0.0135	16	19
15.00	-0.85	-4.50	11:42:30	201	40.38	95.83	-0.2285	-0.0400	0.1909	0.1540	0.0265	0.0213	0.0187	0.0151	28	22
15.00	-1.35	-4.50	11:42:43	222	44.88	94.52	-0.1733	-0.0956	0.1899	0.1561	0.0250	0.0206	0.0177	0.0146	16	22
15.00	-1.85	-4.50	11:42:55	226	45.90	95.74	-0.0633	-0.1268	0.1981	0.1546	0.0259	0.0202	0.0183	0.0143	16	22
15.00	-2.35	-4.50	11:43:08	228	46.17	95.19	0.0404	-0.1072	0.1973	0.1845	0.0257	0.0240	0.0181	0.0170	16	19
15.00	-2.85	-4.50	11:43:20	263	53.61	96.80	0.0753	-0.1071	0.2048	0.1903	0.0248	0.0230	0.0175	0.0163	19	22
15.00	-3.35	-4.50	11:43:32	264	53.34	94.60	0.1020	-0.1283	0.1768	0.1950	0.0214	0.0236	0.0151	0.0167	16	22
15.00	-3.85	-5.00	11:43:44	280	56.74	96.67	0.0909	-0.1611	0.2052	0.1798	0.0241	0.0211	0.0170	0.0149	19	22
15.00	-3.35	-5.00	11:43:57	233	46.90	94.28	0.0800	-0.1416	0.2037	0.1814	0.0262	0.0233	0.0185	0.0165	19	19
15.00	-2.85	-5.00	11:44:09	232	46.79	82.95	0.0750	-0.1180	0.2022	0.1891	0.0261	0.0244	0.0184	0.0172	16	22
15.00	-2.35	-5.00	11:44:21	234	47.36	96.28	0.0212	-0.1201	0.2229	0.1726	0.0286	0.0222	0.0202	0.0157	19	28
15.00	-1.85	-5.00	11:44:34	236	47.42	97.00	-0.0234	-0.1004	0.1822	0.1636	0.0233	0.0209	0.0165	0.0148	16	19
15.00	-1.35	-5.00	11:44:46	215	43.73	91.78	-0.1367	-0.0724	0.1917	0.1553	0.0257	0.0208	0.0182	0.0147	16	19
15.00	-0.85	-5.00	11:44:58	185	38.39	95.86	-0.2114	-0.0318	0.1789	0.1443	0.0258	0.0208	0.0183	0.0147	19	19
15.00	-0.35	-5.00	11:45:10	175	35.42	96.21	-0.2191	-0.0090	0.1859	0.1582	0.0276	0.0235	0.0195	0.0166	19	19
15.00	0.15	-5.00	11:45:23	217	43.90	97.93	-0.2212	0.0130	0.1789	0.1394	0.0239	0.0186	0.0169	0.0131	16	19
15.00	0.65	-5.00	11:45:35	246	49.79	96.92	-0.2016	0.0615	0.1891	0.1497	0.0237	0.0187	0.0167	0.0133	16	19
15.00	1.15	-5.00	11:45:47	186	37.50	91.12	-0.1432	0.0770	0.1997	0.1744	0.0288	0.0251	0.0203	0.0178	19	22
15.00	1.65	-5.00	11:45:59	199	40.36	95.63	-0.0396	0.1237	0.2065	0.1781	0.0288	0.0248	0.0203	0.0175	19	22
15.00	2.15	-5.00	11:46:12	193	38.77	88.24	0.0028	0.1253	0.2144	0.1927	0.0303	0.0273	0.0214	0.0193	19	22
15.00	2.65	-5.00	11:46:26	261	52.73	92.26	0.0553	0.1350	0.1951	0.1738	0.0237	0.0211	0.0168	0.0149	19	22
15.00	3.15	-5.00	11:46:38	246	49.43	90.58	0.1047	0.1507	0.2146	0.1770	0.0269	0.0222	0.0190	0.0157	22	22
15.00	3.65	-5.00	11:46:50	244	49.38	70.92	0.1127	0.1692	0.2026	0.2138	0.0255	0.0269	0.0180	0.0190	19	22
15.00	4.65	-5.50	11:47:04	234	46.98	95.73	0.0788	0.2332	0.1902	0.2103	0.0244	0.0270	0.0173	0.0191	25	25
15.00	4.15	-5.50	11:47:16	213	42.96	89.26	0.0907	0.2116	0.1918	0.1704	0.0258	0.0229	0.0183	0.0162	16	22
15.00	3.65	-5.50	11:47:29	243	49.54	95.69	0.0906	0.2124	0.2003	0.1831	0.0252	0.0231	0.0178	0.0163	16	19
15.00	3.15	-5.50	11:47:41	232	46.85	93.37	0.0924	0.1810	0.2192	0.1950	0.0283	0.0251	0.0200	0.0178	16	19
15.00	2.65	-5.50	11:47:53	225	45.32	93.76	0.0671	0.1452	0.2178	0.2085	0.0285	0.0273	0.0202	0.0193	16	25
15.00	2.15	-5.50	11:48:06	204	41.54	92.13	-0.0238	0.1451	0.2309	0.1842	0.0318	0.0253	0.0225	0.0179	19	22
15.00	1.65	-5.50	11:48:18	211	42.64	94.27	-0.0773	0.0901	0.2172	0.1964	0.0294	0.0266	0.0208	0.0188	16	32
15.00	1.15	-5.50	11:48:30	200	40.75	96.48	-0.1104	0.0967	0.1968	0.1644	0.0273	0.0228	0.0193	0.0162	19	22
15.00	0.65	-5.50	11:48:42	191	38.89	94.03	-0.1670	0.0501	0.1954	0.1518	0.0278	0.0216	0.0196	0.0153	16	22
15.00	0.15	-5.50	11:48:55	176	35.95	93.08	-0.1940	0.0371	0.1921	0.1319	0.0285	0.0195	0.0201	0.0138	16	22
15.00	-0.35	-5.50	11:49:08	195	39.18	96.45	-0.2002	0.0065	0.1798	0.1414	0.0253	0.0199	0.0179	0.0141	16	22
15.00	-0.85	-5.50	11:49:20	204	41.10	94.91	-0.1918	-0.0507	0.1843	0.1433	0.0254	0.0197	0.0179	0.0139	19	22
15.00	-1.35	-5.50	11:49:32	194	39.59	93.98	-0.1349	-0.0710	0.1789	0.1538	0.0252	0.0217	0.0178	0.0153	19	22
15.00	-1.85	-5.50	11:49:45	247	49.61	97.83	-0.0754	-0.0924	0.2162	0.1604	0.0270	0.0200	0.0191	0.0142	19	22
15.00	-2.35	-5.50	11:49:57	196	39.71	93.46	-0.0073	-0.1251	0.2198	0.1985	0.0309	0.0279	0.0218	0.0197	16	22
15.00	-2.85	-5.50	11:50:10	231	46.97	94.81	0.0541	-0.1262	0.1917	0.1836	0.0248	0.0237	0.0175	0.0168	16	22
15.00	-3.35	-5.50	11:50:22	221	44.73	93.22	0.0701	-0.1059	0.2249	0.2117	0.0297	0.0280	0.0210	0.0198	16	19
15.00	-3.85	-5.50	11:50:35	244	49.33	95.73	0.1092	-0.1455	0.2241	0.2035	0.0282	0.0256	0.0199	0.0181	12	19
15.00	-4.35	-5.50	11:50:47	288	58.14	88.90	0.0755	-0.1674	0.2077	0.1741	0.0240	0.0201	0.0170	0.0142	16	22
15.00	-4.85	-5.50	11:50:59	301	60.69	93.84	0.0594	-0.1806	0.1876	0.1981	0.0212	0.0224	0.0150	0.0159	22	25
15.00	-6.85	-6.00	11:51:18	280	56.57	89.23	0.0853	-0.2017	0.2176	0.2493	0.0255	0.0292	0.0181	0.0207	22	32
15.00	-6.35	-6.00	11:51:30	245	48.94	89.64	0.0661	-0.2882	0.2179	0.2146	0.0273	0.0269	0.0193	0.0190	19	28
15.00	-5.85	-6.00	11:51:43	235	47.80	93.60	0.0187	-0.2599	0.1899	0.2199	0.0243	0.0282	0.0172	0.0199	19	32
15.00	-5.35	-6.00	11:51:56	216	43.24	92.29	0.0653	-0.2366	0.2040	0.1800	0.0273	0.0241	0.0193	0.0170	16	32
15.00	-4.85	-6.00	11:52:08	251	50.30	88.46	0.0670	-0.2135	0.2056	0.1898	0.0255	0.0235	0.0180	0.0166	16	32
15.00	-4.35	-6.00	11:52:20	234	46.86	96.66	0.0691	-0.1878	0.2132	0.2091	0.0274	0.0268	0.0194	0.0190	19	32
15.00	-3.85	-6.00	11:52:32	257	51.86	95.87	0.0813	-0.1756	0.2365	0.1882	0.0290	0.0231	0.0205	0.0163	16	22
15.00	-3.35	-6.00	11:52:45	208	42.27	94.44	0.0761	-0.1962	0.2197	0.2191	0.0299	0.0298	0.0212	0.0211	16	22
15.00	-2.85	-6.00	11:52:57	228	45.84	93.38	0.0155	-0.1300	0.2315	0.1848	0.0301	0.0240	0.0213	0.0170	16	22
15.00	-2.35	-6.00	11:53:09	244	49.06	93.17	-0.0435	-0.1088	0.2074	0.1999	0.0261	0.0251	0.0184	0.0178	16	19
15.00	-1.85	-6.00	11:53:21	206	41.54	92.53	-0.0432	-0.1247	0.1902	0.1740	0.0260	0.0238	0.0184	0.0168	16	22
15.00	-1.35	-6.00	11:53:34	215	43.13	93.89	-0.1441	-0.0870	0.1942	0.1507	0.0260	0.0202	0.0184	0.0143	16	22
15.00	-0.85	-6.00	11:53:46	190	38.47	95.72	-0.1463	-0.0742	0.1991	0.1619	0.0284	0.0231	0.0201	0.0163	16	22
15.00	-0.35	-6.00	11:53:58	209	41.90	96.05	-0.1636	0.0052	0.1953	0.1340	0.0265	0.0182	0.0188	0.0129	16	19
15.00	0.15	-6.00	11:54:10	148	29.90	91.70	-0.1871	0.0284	0.2073	0.1474	0.0335	0.0238	0.0237	0.0169	16	22
15.00	0.65	-6.00	11:54:22	190	38.66	93.26	-0.1551	0.0542	0.2031	0.1616	0.0290	0.0230	0.0205	0.0163	16	19
15.00	1.15	-6.00	11:54:34	209	42.01	97.47	-0.1033	0.0991	0.2036	0.1640	0.0277	0.0223	0.0196	0.0158	16	19
15.00	1.65	-6.00	11:54:47	190	38.66	86.98	-0.0362	0.1489	0.2116	0.1881	0.0302	0.0268	0.0213	0.0190	16	22
15.00	2.15	-6.00	11:54:59	187	37.76	94.96	0.0055	0.1271	0.2271	0.1890	0.0326	0.0272	0.0231	0.0192	16	22
15.00	2.65	-6.00	11:55:11	238	48.21	93.51	0.0441	0.1780	0.2536	0.1906	0.0323	0.0243	0.0228	0.0172	16	22
15.00	3.15	-6.00	11:55:24	174	36.02	80.29	0.0590	0.1550	0.2466	0.1960	0.0367	0.0292	0.0260	0.0207	19	25
15.00	3.65	-6.00	11:55:37	209	41.93	86.25	0.0833	0.2000	0.2176	0.2148	0.0296	0.0292	0.0209	0.0206	16	22
15.00	4.15	-6.00	11:55:49	240	48.50	92.80	0.0901	0.2216	0.2098	0.2058	0.0266	0.0261	0.0188	0.0184	16	22
15.00	4.65	-6.00	11:56:01	236	47.46	95.27	0.0712	0.2432	0.2087	0.1908	0.0267	0.0244	0.0189	0.0173	16	22
15.00	5.15	-6.00	11:56:14	204	40.46	90.02	0.0539	0.2943	0.2076	0.1893	0.0286	0.0260	0.0202	0.0184	16	22
15.00	5.65	-6.00	11:56:27	226	45.22	93.40	0.0655	0.2853	0.2160	0.2097	0.0282	0.0274	0.0200	0.0194	22	19
15.00	6.15	-6.00	11:56:39	263	52.80	90.61	0.0593	0.2437	0.1859	0.2244	0.0225	0.0272	0.0159	0.0192	22	25
15.00	6.65	-6.00	11:56:52	196	39.67	95.94	0.0649	0.2185	0.1817	0.2434	0.0255	0.0342	0.0180	0.0242	19	19
15.00	7.15	-6.00	11:57:04	226	45.86	95.47	0.0817	0.2136	0.2126	0.2388	0.0278	0.0312	0.0196	0.0221	22	32
15.00	7.15	-6.50	11:57:16	217	44.32	74.55	0.0370	0.2514	0.2274	0.2254	0.0303	0.0301	0.0214	0.0213	16	19
15.00	6.65	-6.50	11:57:29	243	49.11	93.54	0.0354	0.2855	0.2099	0.1933	0.0264	0.0244	0.0187	0.0172	16	22
15.00	6.15	-6.50	11:57:41	232	46.62	90.04	0.0350	0.2763	0.2049	0.1935	0.0264	0.0250	0.0187	0.0176	16	22
15.00	5.65	-6.50	11:57:54	227	45.50	91.85	0.0505	0.2789	0.2076	0.1846	0.0271	0.0241	0.0191	0.0170	19	22
15.00	5.15	-6.50	11:58:06	215	43.25	97.04	0.0805	0.2638	0.2255	0.1859	0.0302	0.0249	0.0214	0.0176	19	19
15.00	4.65	-6.50	11:58:18	213	42.91	93.73	0.0369	0.2655	0.2221	0.2182	0.0299	0.0294	0.0211	0.0208	16	19
15.00	4.15	-6.50	11:58:30	222	45.34	96.81	0.0569	0.2726	0.2236	0.2145	0.0295	0.0283	0.0208	0.0200	16	22
15.00	3.65	-6.50	11:58:43	186	37.93	93.10	0.0552	0.2448	0.2406	0.2134	0.0347	0.0308	0.0245	0.0217	16	22
15.00	3.15	-6.50	11:58:55	199	39.90	96.61	0.0192	0.2293	0.2362	0.2130	0.0329	0.0297	0.0233	0.0210	16	19
15.00	2.65	-6.50	11:59:07	195	39.01	95.53	0.0152	0.2052	0.2605	0.2179	0.0367	0.0307	0.0259	0.0217	16	19
15.00	2.15	-6.50	11:59:20	205	41.82	94.73	-0.0136	0.1856	0.2570	0.2053	0.0353	0.0282	0.0249	0.0199	16	25
15.00	1.65	-6.50	11:59:33	170	34.24	95.02	-0.0355	0.1528	0.2422	0.1955	0.0365	0.0295	0.0258	0.0208	16	22
15.00	1.15	-6.50	11:59:45	178	36.19	94.08	-0.0860	0.1466	0.2325	0.1692	0.0343	0.0249	0.0242	0.0176	12	19
15.00	0.65	-6.50	11:59:57	201	40.51	95.37	-0.1292	0.0915	0.2504	0.1651	0.0347	0.0229	0.0245	0.0162	16	19
15.00	0.15	-6.50	12:00:09	132	26.52	95.40	-0.1767	0.0483	0.2238	0.1770	0.0383	0.0303	0.0271	0.0214	12	19
15.00	-0.35	-6.50	12:00:21	190	38.10	94.48	-0.1399	-0.0082	0.2031	0.1570	0.0290	0.0224	0.0205	0.0158	16	22
15.00	-0.85	-6.50	12:00:33	205	42.63	89.86	-0.1571	-0.0442	0.2144	0.1570	0.0294	0.0215	0.0208	0.0152	16	22
15.00	-1.35	-6.50	12:00:46	193	39.20	95.96	-0.1107	-0.1238	0.2085	0.1512	0.0295	0.0214	0.0209	0.0151	16	22
15.00	-1.85	-6.50	12:00:58	206	41.89	95.81	-0.0575	-0.1473	0.2378	0.1553	0.0326	0.0213	0.0230	0.0150	16	22
15.00	-2.35	-6.50	12:01:10	235	47.39	94.12	-0.0284	-0.1743	0.2091	0.1888	0.0268	0.0242	0.0189	0.0171	16	22
15.00	-2.85	-6.50	12:01:22	216	43.25	91.76	0.0123	-0.1830	0.2376	0.1736	0.0318	0.0232	0.0225	0.0164	16	25
15.00	-3.35	-6.50	12:01:35	210	42.56	96.38	0.0801	-0.1845	0.2392	0.2089	0.0324	0.0283	0.0229	0.0200	16	22
15.00	-3.85	-6.50	12:01:48	213	43.09	94.80	0.0289	-0.2243	0.2042	0.2093	0.0275	0.0282	0.0194	0.0199	16	19
15.00	-4.35	-6.50	12:02:00	236	47.52	96.78	0.0910	-0.2453	0.2415	0.2102	0.0309	0.0269	0.0218	0.0190	16	19
15.00	-4.85	-6.50	12:02:13	263	52.78	95.77	0.0483	-0.2223	0.2406	0.2134	0.0291	0.0258	0.0206	0.0183	16	22
15.00	-5.35	-6.50	12:02:25	240	48.55	94.11	0.0302	-0.2512	0.2082	0.1937	0.0264	0.0246	0.0187	0.0174	16	19
15.00	-5.85	-6.50	12:02:38	234	46.88	96.71	0.0348	-0.2680	0.1970	0.2006	0.0253	0.0258	0.0179	0.0182	16	22
15.00	-6.35	-6.50	12:02:50	253	51.72	95.70	0.0298	-0.2763	0.2037	0.1897	0.0252	0.0234	0.0178	0.0166	19	19
15.00	-6.85	-6.50	12:03:02	244	49.20	88.17	0.0403	-0.2272	0.1938	0.2166	0.0244	0.0272	0.0172	0.0193	19	22
15.00	-6.85	-7.00	12:03:14	224	45.17	91.49	-0.0006	-0.2733	0.2274	0.1856	0.0299	0.0244	0.0211	0.0172	19	22
15.00	-6.35	-7.00	12:03:26	187	38.12	91.27	0.0238	-0.2758	0.2218	0.1974	0.0319	0.0284	0.0225	0.0201	16	19
15.00	-5.85	-7.00	12:03:38	206	41.41	96.80	0.0255	-0.2646	0.2126	0.2006	0.0291	0.0275	0.0206	0.0194	16	22
15.00	-5.35	-7.00	12:03:50	190	38.37	91.65	-0.0109	-0.2896	0.2169	0.2292	0.0309	0.0327	0.0219	0.0231	16	22
15.00	-4.85	-7.00	12:04:03	206	41.31	88.92	0.0260	-0.2726	0.2437	0.2178	0.0334	0.0298	0.0236	0.0211	16	22
15.00	-4.35	-7.00	12:04:15	205	41.26	94.17	0.0611	-0.2867	0.2452	0.2026	0.0336	0.0278	0.0238	0.0197	16	22
15.00	-3.85	-7.00	12:04:27	199	40.30	91.99	0.0256	-0.2741	0.2285	0.2125	0.0318	0.0296	0.0225	0.0209	12	19
