DXEX v3
C:\Documents and Settings\Prof. Werneck\Desktop\Testes_HTP\Testes\Testes_Topo\15mm\15mm_campo_topo_t05.lda
11:27:53
15.00 mm;-0.85 mm;0.00 mm
15_90_sub1
"X [mm]"	"Y [mm]"	"Z [mm]"	"Date_Time"	"Count{1}"	"Data Rate{1} [#/s]"	"Validation{1} [%]"	"LDA1-Mean [m/s]"	"LDA2-Mean [m/s]"	"LDA1-RMS [m/s]"	"LDA2-RMS [m/s]"	"LDA1-MeanConf [m/s]"	"LDA2-MeanConf [m/s]"	"LDA1-RMSConf [m/s]"	"LDA2-RMSConf [m/s]"	"LDA1-AnodeCur [uA]"	"LDA2-AnodeCur [uA]"	
15.00	-0.85	0.00	11:27:53	265	54.65	93.67	-0.3581	0.0242	0.1812	0.1869	0.0219	0.0225	0.0155	0.0159	19	25
15.00	-0.35	0.00	11:28:05	360	72.38	91.70	-0.3715	0.0536	0.1951	0.2047	0.0202	0.0212	0.0143	0.0150	16	35
15.00	0.15	0.00	11:28:17	347	69.97	94.95	-0.3566	0.0675	0.2013	0.2059	0.0212	0.0217	0.0150	0.0153	19	25
15.00	0.65	0.00	11:28:29	307	61.48	93.06	-0.3553	0.0725	0.1728	0.1840	0.0194	0.0206	0.0137	0.0146	16	25
15.00	1.15	0.00	11:28:41	245	49.38	66.92	-0.2405	0.0865	0.2823	0.2299	0.0354	0.0289	0.0250	0.0204	22	406
15.00	1.15	-0.50	11:28:54	230	46.00	69.51	-0.2152	0.1143	0.3082	0.2181	0.0399	0.0282	0.0282	0.0200	19	358
15.00	0.65	-0.50	11:29:06	327	65.74	89.04	-0.3782	0.0663	0.1855	0.1816	0.0201	0.0197	0.0142	0.0139	25	25
15.00	0.15	-0.50	11:29:18	297	59.74	97.50	-0.3882	0.0503	0.1905	0.1913	0.0217	0.0218	0.0153	0.0154	16	22
15.00	-0.35	-0.50	11:29:30	336	67.77	92.59	-0.3645	0.0478	0.1776	0.1726	0.0190	0.0185	0.0134	0.0131	16	28
15.00	-0.85	-0.50	11:29:43	314	62.84	96.66	-0.3698	0.0321	0.1914	0.1849	0.0212	0.0205	0.0150	0.0145	16	25
15.00	-0.85	-1.00	11:29:55	281	56.95	92.37	-0.3758	0.0471	0.1774	0.1929	0.0208	0.0226	0.0147	0.0160	12	25
15.00	-0.35	-1.00	11:30:07	295	59.40	97.16	-0.3925	0.0587	0.1782	0.1947	0.0204	0.0223	0.0144	0.0157	16	35
15.00	0.15	-1.00	11:30:20	321	65.37	88.19	-0.3845	0.0606	0.1655	0.1737	0.0181	0.0190	0.0128	0.0135	16	19
