,DXEX v3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,C:\Documents and Settings\Prof. Werneck\Desktop\Testes_HTP\Testes\Testes_Topo\15mm\15mm_campo_topo_t01.lda,,,,,,,,,,,,,,,,,,
1,12:28:00,,,,,,,,,,,,,,,,,,
2,15.00 mm;-0.85 mm;0.00 mm,,,,,,,,,,,,,,,,,,
3,15_90_sub1,,,,,,,,,,,,,,,,,,
4,"""X [mm]""	""Y [mm]""	""Z [mm]""	""Date_Time""	""Count{1}""	""Data Rate{1} [#/s]""	""Validation{1} [%]""	""LDA1-Mean [m/s]""","""LDA2-Mean","[m/s]""","""LDA1-RMS","[m/s]""","""LDA2-RMS","[m/s]""","""LDA1-MeanConf","[m/s]""","""LDA2-MeanConf","[m/s]""","""LDA1-RMSConf","[m/s]""","""LDA2-RMSConf","[m/s]""","""LDA1-AnodeCur","[uA]""","""LDA2-AnodeCur","[uA]"""
5,15.00	-0.85	0.00	12:28:00	237	48.26	93.54	-0.3564	0.0193	0.2023	0.1885	0.0258	0.0241	0.0182	0.0170	16	28,,,,,,,,,,,,,,,,,,
6,15.00	-0.35	0.00	12:28:12	264	53.42	92.25	-0.3766	0.0201	0.1754	0.2008	0.0212	0.0243	0.0150	0.0172	12	32,,,,,,,,,,,,,,,,,,
7,15.00	0.15	0.00	12:28:24	273	55.31	89.88	-0.3748	0.0915	0.1940	0.1872	0.0231	0.0223	0.0163	0.0157	16	28,,,,,,,,,,,,,,,,,,
8,15.00	0.65	0.00	12:28:37	265	53.95	94.87	-0.3488	0.0665	0.1835	0.1870	0.0221	0.0226	0.0157	0.0160	12	25,,,,,,,,,,,,,,,,,,
9,15.00	1.15	0.00	12:28:49	268	54.39	83.42	-0.2657	0.1235	0.2658	0.1873	0.0319	0.0225	0.0225	0.0159	16	153,,,,,,,,,,,,,,,,,,
10,15.00	1.15	-0.50	12:29:01	260	52.40	87.86	-0.2620	0.1328	0.2617	0.2029	0.0319	0.0247	0.0225	0.0175	19	73,,,,,,,,,,,,,,,,,,
11,15.00	0.65	-0.50	12:29:13	249	49.94	91.08	-0.3693	0.0963	0.1799	0.1764	0.0224	0.0220	0.0158	0.0155	19	25,,,,,,,,,,,,,,,,,,
12,15.00	0.15	-0.50	12:29:25	263	52.82	88.85	-0.3685	0.0699	0.1781	0.1900	0.0216	0.0230	0.0153	0.0163	12	25,,,,,,,,,,,,,,,,,,
13,15.00	-0.35	-0.50	12:29:38	257	51.95	96.10	-0.3891	0.0456	0.1749	0.2021	0.0214	0.0248	0.0151	0.0175	12	32,,,,,,,,,,,,,,,,,,
14,15.00	-0.85	-0.50	12:29:50	204	40.91	92.18	-0.3719	0.0203	0.1880	0.1613	0.0259	0.0222	0.0183	0.0157	12	25,,,,,,,,,,,,,,,,,,
15,15.00	-0.85	-1.00	12:30:02	239	49.20	90.23	-0.3534	0.0193	0.1981	0.1918	0.0252	0.0244	0.0178	0.0172	12	28,,,,,,,,,,,,,,,,,,
16,15.00	-0.35	-1.00	12:30:14	244	49.10	94.60	-0.3827	0.0410	0.1783	0.1815	0.0224	0.0228	0.0159	0.0161	9	41,,,,,,,,,,,,,,,,,,
17,15.00	0.15	-1.00	12:30:27	262	52.57	94.86	-0.3699	0.0610	0.1731	0.1855	0.0210	0.0225	0.0148	0.0159	12	22,,,,,,,,,,,,,,,,,,
18,15.00	0.65	-1.00	12:30:40	234	47.15	83.69	-0.3644	0.0835	0.1923	0.1908	0.0247	0.0245	0.0175	0.0173	12	28,,,,,,,,,,,,,,,,,,
19,15.00	1.15	-1.00	12:30:52	261	52.73	90.07	-0.2705	0.0896	0.2710	0.2093	0.0329	0.0254	0.0233	0.0180	16	22,,,,,,,,,,,,,,,,,,
20,15.00	1.15	-1.50	12:31:04	246	49.35	90.95	-0.2769	0.0931	0.2870	0.2169	0.0359	0.0272	0.0254	0.0192	16	19,,,,,,,,,,,,,,,,,,
21,15.00	0.65	-1.50	12:31:16	278	56.57	94.60	-0.3637	0.0693	0.2124	0.1781	0.0250	0.0210	0.0177	0.0148	12	25,,,,,,,,,,,,,,,,,,
22,15.00	0.15	-1.50	12:31:28	272	54.36	96.28	-0.3869	0.0426	0.1899	0.1841	0.0226	0.0219	0.0160	0.0155	9	25,,,,,,,,,,,,,,,,,,
23,15.00	-0.35	-1.50	12:31:40	268	54.05	94.03	-0.3930	0.0555	0.1645	0.1797	0.0197	0.0216	0.0140	0.0152	12	38,,,,,,,,,,,,,,,,,,
