127	3630.464	46.1	-0.0940	0.0797
128	3632.771	46.9	-0.3357	0.0863
129	3636.253	31.6	-0.3071	0.0017
130	3685.872	17.9	-0.0038	-0.2207
131	3692.812	45.2	0.0088	0.0519
132	3769.673	80.2	-0.2156	0.1666
133	3847.108	42.7	-0.3059	-0.0495
134	3887.023	41.0	-0.2403	-0.4035
135	3895.284	18.8	-0.0883	-0.2274
136	3907.421	68.3	-0.2740	0.0636
137	4025.649	31.6	-0.1933	0.1938
138	4074.422	68.3	-0.3170	0.0580
139	4138.736	72.5	-0.1459	0.1938
140	4185.239	20.5	-0.2064	-0.0316
141	4228.548	22.2	-0.5876	-0.0433
142	4256.083	26.5	-0.2184	-0.2486
143	4262.702	15.4	-0.2877	0.0545
144	4262.722	16.2	-0.2824	0.0545
145	4297.364	60.6	-0.2759	0.1918
146	4305.263	58.9	-0.0745	0.0034
147	4320.674	67.4	-0.1733	0.0048
148	4334.191	62.3	-0.3603	0.1348
149	4395.907	62.3	-0.3972	-0.1671
150	4461.228	14.5	-0.3007	-0.5448
151	4504.192	56.3	-0.5097	-0.0635
152	4507.509	64.0	-0.6117	0.0670
153	4593.191	8.5	-0.0773	-0.2372
154	4602.506	106.7	-0.1349	0.1753
155	4613.951	45.2	-0.0460	0.0169
156	4634.697	7.7	-0.2176	-0.0868
157	4659.375	96.4	-0.2366	0.0661
158	4706.978	73.4	-0.0887	-0.0330
159	4829.636	78.5	-0.4238	0.0004
160	4831.035	115.2	-0.1011	-0.0572
161	4869.613	36.7	-0.1914	-0.2675
162	4870.937	59.7	-0.2887	-0.1004
163	4875.276	29.0	-0.1085	0.1816
164	4879.610	53.8	-0.2558	0.0803
165	4926.851	123.7	0.0803	0.1240
166	4988.168	70.8	-0.5160	-0.0282
